Food group,Food,Protein (g),Diet,Species,n,Model,Sample,Measure,Analyte,Value (%),SD,Analysis method,Collected From,Original Source,Notes
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",87,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat . Average daily intake: 87 gm. protein, 2,580 calories.",1,in vivo,fecal,apparent digestibility,crude protein,84.7,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",87,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat . Average daily intake: 87 gm. protein, 2,580 calories.",1,in vivo,fecal,apparent digestibility,crude protein,81.7,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",87,human,"Akanogohan (1,171 gm. rice cooked with 1,600 cc. water and 400 cc. juice prepared from boiled red beans by squeezing through cloth) eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 87 gm. protein, 2,300 calories.",1,in vivo,fecal,apparent digestibility,crude protein,90.6,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",87,human,"Akanogohan (1,171 gm. rice cooked with 1,600 cc. water and 400 cc. juice prepared from boiled red beans by squeezing through cloth) eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 87 gm. protein, 2,300 calories.",1,in vivo,fecal,apparent digestibility,crude protein,81.3,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",87,human,"Akanogohan (1,171 gm. rice cooked with 1,600 cc. water and 400 cc. juice prepared from boiled red beans by squeezing through cloth) eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 87 gm. protein, 2,300 calories.",1,in vivo,fecal,apparent digestibility,crude protein,83.6,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",87,human,"Akanogohan (1,171 gm. rice cooked with 1,600 cc. water and 400 cc. juice prepared from boiled red beans by squeezing through cloth) eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 87 gm. protein, 2,300 calories.",1,in vivo,fecal,apparent digestibility,crude protein,85.2,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",87,human,"Akanogohan (1,171 gm. rice cooked with 1,600 cc. water and 400 cc. juice prepared from boiled red beans by squeezing through cloth) eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 87 gm. protein, 2,300 calories.",1,in vivo,fecal,apparent digestibility,crude protein,82.8,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",89,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 89 gm. protein, 2,600 calories.",1,in vivo,fecal,apparent digestibility,crude protein,86.1,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",89,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 89 gm. protein, 2,600 calories.",1,in vivo,fecal,apparent digestibility,crude protein,83.8,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",89,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 89 gm. protein, 2,600 calories.",1,in vivo,fecal,apparent digestibility,crude protein,82.8,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",89,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 89 gm. protein, 2,600 calories.",1,in vivo,fecal,apparent digestibility,crude protein,85.3,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",85,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 85 gm. protein, 2,380 calories.",1,in vivo,fecal,apparent digestibility,crude protein,86.2,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
Grains and Grain Products,"Rice, Rice Products (Oryza sativa): Polished, 3d grade Shonai. Germ almost entirely rubbed off in milling.",85,human,"Boiled rice eaten in mixed diet that included bean paste, wakame, fish powder, mackerel, pork, potatoes, burdock, cabbage, onions, daikon (raw and pickled), bean curd, fuki (bolled), sugar, soysauce, and vinegar, supplying daily 656 calories, 47 gm. protein, 81 gm. carbohydrate (expressed as glucose), and 14 gm. fat. Average daily intake: 85 gm. protein, 2,380 calories.",1,in vivo,fecal,apparent digestibility,crude protein,84.6,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","SUGIMOTO, K., HIGUCHI, M., MOMOYEDA, S., and others. 1926. THE DIGESTIBILITY AND UTILISATION OF RICE COOKED BY DIFFERENT METHODS. In Saiki, T., [ed.] Progress of the Science of Nutrition in Japan. League of Nations Health Organ. III. Health III. 25. C. H. 523, pp. [155]-233.","General: Test food taken ad lib., other foods kept constant. Marker, carmine or carbo sanguinis. Plan of 2d report: Total period was 6 days. On 1st, 2d, 5th, and 6th days polished rice was fed while on 3d and 4th days rice of a different grade of polishing was fed so that in each experiment half polished, 70-percent polished, or Unpollshed rice was compared with polished grade. Boiled polished rice was used in 8 experiments of the series reported, and 37 subjects were used. 24 were in positive N-balance, averaging +1.3 gm. per day. 13 subjects were in negative balance, averaging -0.7 gm. per day. 3 subjects on rice gruel diet showed negative balance, averaging -3.6 gm. per day. 5 subjects on ""ojiya"" diet were in negative N-balance, averaging -1.6 gm. per day. 4 subjects on 'sushi"" diet were in positive N-balance, averaging +1.3 gm. per day. Subject N in slightly negative N-balance, -0.03 gm. per day. 4 subjects on ""akanogohan"" diet in negative N-balance, averaging -1.5 gm. per day. Subject H in positive N-balance, +0.3 gm. per day."
